1,1,4.7e+09,0.0024767,0.00200099
1,1,4.703e+09,0.0038654,0.000206845
1,1,4.706e+09,0.00315927,-0.00102225
1,1,4.709e+09,0.00323927,-0.00156137
1,1,4.712e+09,0.00275022,-0.00325706
1,1,4.715e+09,0.00144441,-0.00413784
1,1,4.718e+09,0.000107097,-0.00397889
1,1,4.721e+09,-0.00092957,-0.00447919
1,1,4.724e+09,-0.00246518,-0.00412835
1,1,4.727e+09,-0.00352602,-0.00293465
1,1,4.73e+09,-0.00486528,-0.00101941
1,1,4.733e+09,-0.00491067,0.000455432
1,1,4.736e+09,-0.00426284,0.00167798
1,1,4.739e+09,-0.0031127,0.00364542
1,1,4.742e+09,-0.00162287,0.00468294
1,1,4.745e+09,-0.000396226,0.00505727
1,1,4.748e+09,0.00216611,0.00339674
1,1,4.751e+09,0.00261056,0.00230707
1,1,4.754e+09,0.00280309,0.00220201
1,1,4.757e+09,0.00312349,0.00119941
1,1,4.76e+09,0.00291634,-8.17827e-06
1,1,4.763e+09,0.00346027,-0.000129687
1,1,4.766e+09,0.00364656,-0.00147578
1,1,4.769e+09,0.00173176,-0.00241972
1,1,4.772e+09,0.00150103,-0.00216405
1,1,4.775e+09,0.00123391,-0.0025433
1,1,4.778e+09,0.000483684,-0.00181783
1,1,4.781e+09,0.00100088,-0.00169619
1,1,4.784e+09,0.000694875,-0.00249534
1,1,4.787e+09,0.000435254,-0.00238671
1,1,4.79e+09,7.20125e-05,-0.00259615
1,1,4.793e+09,-6.10794e-05,-0.00324295
1,1,4.796e+09,-0.00155256,-0.00363851
1,1,4.799e+09,-0.00138519,-0.0024896
1,1,4.802e+09,-0.00161,-0.00254158
1,1,4.805e+09,-0.00215967,-0.00195991
1,1,4.808e+09,-0.00159321,-0.00197827
1,1,4.811e+09,-0.00158214,-0.0029726
1,1,4.814e+09,-0.00271309,-0.00296951
1,1,4.817e+09,-0.00370095,-0.0032811
1,1,4.82e+09,-0.00492892,-0.00303033
1,1,4.823e+09,-0.00641376,-0.00193674
1,1,4.826e+09,-0.00686814,-0.000870706
1,1,4.829e+09,-0.00823905,0.00031312
1,1,4.832e+09,-0.00834413,0.00263937
1,1,4.835e+09,-0.0077839,0.00433998
1,1,4.838e+09,-0.00769865,0.00599686
1,1,4.841e+09,-0.00669438,0.00819523
1,1,4.844e+09,-0.00450438,0.00975423
1,1,4.847e+09,-0.00268885,0.0107326
1,1,4.85e+09,-0.000145753,0.0112619
1,1,4.853e+09,0.00170279,0.0107876
1,1,4.856e+09,0.00370789,0.0106292
1,1,4.859e+09,0.00575882,0.00998579
1,1,4.862e+09,0.00740575,0.00829866
1,1,4.865e+09,0.00825709,0.00687383
1,1,4.868e+09,0.00971835,0.00560868
1,1,4.871e+09,0.00940895,0.00336466
1,1,4.874e+09,0.00936433,0.00288904
1,1,4.877e+09,0.0098539,0.00131586
1,1,4.88e+09,0.00929347,0.000448871
1,1,4.883e+09,0.00948428,7.00027e-05
1,1,4.886e+09,0.00962039,-0.000904012
1,1,4.889e+09,0.01007,-0.00156089
1,1,4.892e+09,0.0109991,-0.00191107
1,1,4.895e+09,0.0122615,-0.00376188
1,1,4.898e+09,0.0127945,-0.00578993
1,1,4.901e+09,0.0137187,-0.00903857
1,1,4.904e+09,0.0123737,-0.0130672
1,1,4.907e+09,0.00996657,-0.0156287
1,1,4.91e+09,0.0071188,-0.0188589
1,1,4.913e+09,0.00332821,-0.0202496
1,1,4.916e+09,-0.000299399,-0.0209893
1,1,4.919e+09,-0.00427183,-0.0209073
1,1,4.922e+09,-0.00749253,-0.0205713
1,1,4.925e+09,-0.0115912,-0.0197507
1,1,4.928e+09,-0.0154542,-0.0174114
1,1,4.931e+09,-0.0181274,-0.0145798
1,1,4.934e+09,-0.0205739,-0.0121059
1,1,4.937e+09,-0.0229387,-0.00857816
1,1,4.94e+09,-0.0242957,-0.00457497
1,1,4.943e+09,-0.0247966,-0.00056486
1,1,4.946e+09,-0.0252734,0.00331494
1,1,4.949e+09,-0.0246569,0.00765844
1,1,4.952e+09,-0.0232218,0.0116299
1,1,4.955e+09,-0.0213582,0.0149267
1,1,4.958e+09,-0.0192762,0.0182604
1,1,4.961e+09,-0.0167819,0.0211699
1,1,4.964e+09,-0.0137297,0.0240853
1,1,4.967e+09,-0.0107637,0.026706
1,1,4.97e+09,-0.0060832,0.0292574
1,1,4.973e+09,-0.00116783,0.0304855
1,1,4.976e+09,0.00406818,0.0313395
1,1,4.979e+09,0.00997873,0.0307974
1,1,4.982e+09,0.0155437,0.0285638
1,1,4.985e+09,0.0201754,0.0256546
1,1,4.988e+09,0.0246491,0.0221064
1,1,4.991e+09,0.0281377,0.0171367
1,1,4.994e+09,0.0298464,0.0123536
1,1,4.997e+09,0.0318515,0.00743412
1,1,5e+09,0.0320482,0.00126929
1,2,4.7e+09,-0.00110942,-0.00223223
1,2,4.703e+09,-0.00136328,-0.00220172
1,2,4.706e+09,-0.00241371,-0.000896734
1,2,4.709e+09,-0.00168349,0.000302557
1,2,4.712e+09,-0.00168506,0.000121681
1,2,4.715e+09,-0.0017207,0.00104617
1,2,4.718e+09,-0.000625884,0.00232115
1,2,4.721e+09,1.63791e-05,0.00165987
1,2,4.724e+09,0.000122414,0.00203482
1,2,4.727e+09,0.00210711,0.00201889
1,2,4.73e+09,0.00289118,0.001319
1,2,4.733e+09,0.00255974,0.000277308
1,2,4.736e+09,0.00296398,-0.00127377
1,2,4.739e+09,0.00277711,-0.00286787
1,2,4.742e+09,0.00154181,-0.00306925
1,2,4.745e+09,-0.00122143,-0.00361155
1,2,4.748e+09,-0.00258724,-0.0024877
1,2,4.751e+09,-0.00229557,-0.00135394
1,2,4.754e+09,-0.00262018,0.000302392
1,2,4.757e+09,-0.00194726,0.00140077
1,2,4.76e+09,-0.0016607,0.00176584
1,2,4.763e+09,-0.000214675,0.00238729
1,2,4.766e+09,0.00111792,0.00245451
1,2,4.769e+09,0.0017695,0.00176832
1,2,4.772e+09,0.00233312,0.000762695
1,2,4.775e+09,0.00260894,-0.000400507
1,2,4.778e+09,0.00213973,-0.000775846
1,2,4.781e+09,0.00234543,-0.000705942
1,2,4.784e+09,0.00255762,-0.00184053
1,2,4.787e+09,0.0018924,-0.00264877
1,2,4.79e+09,0.00127453,-0.00294232
1,2,4.793e+09,0.00121048,-0.00291073
1,2,4.796e+09,0.000492848,-0.00408781
1,2,4.799e+09,0.000333956,-0.003819
1,2,4.802e+09,-0.000184781,-0.00525077
1,2,4.805e+09,-0.00252987,-0.00534955
